467,605,487,665
513,604,533,620
886,599,906,619
789,599,810,620
689,599,710,620
288,599,308,619
512,598,528,613
831,572,839,582
818,572,830,582
730,572,738,582
717,572,729,582
617,570,624,580
607,570,615,580
597,570,605,580
588,570,596,580
578,570,586,580
569,570,577,580
561,570,568,580
993,545,1000,555
983,545,991,555
980,545,981,555
972,545,978,555
963,545,970,555
953,545,961,555
377,545,384,555
367,545,375,555
364,545,365,555
356,545,362,555
347,545,354,555
337,545,345,555
671,474,686,489
632,471,664,490
676,469,692,489
451,396,470,429
993,389,1000,399
983,389,991,399
980,389,981,399
972,389,978,399
963,389,970,399
953,389,961,399
377,381,384,391
367,381,375,391
364,381,365,391
356,381,362,391
347,381,354,391
337,381,345,391
721,308,730,318
711,308,719,318
700,308,709,318
691,308,699,318
679,308,685,318
669,308,676,318
659,308,666,318
650,308,657,318
641,308,648,318
632,308,639,318
624,308,630,318
614,308,621,318
603,308,612,318
594,308,601,318
288,286,308,306
923,278,931,288
915,278,922,288
904,278,913,288
895,278,902,288
925,271,926,273
926,263,928,270
907,263,924,273
900,263,906,273
375,231,382,241
365,231,373,241
362,231,363,241
354,231,360,241
345,231,352,241
335,231,343,241
45,223,247,564
503,207,822,469
519,202,538,234
1005,189,1014,199
995,189,1003,199
984,189,993,199
975,189,983,199
965,189,973,199
955,189,963,199
946,189,953,199
936,189,944,199
929,189,935,199
810,186,846,187
520,175,539,191
434,174,895,587
519,168,535,184
1046,165,1065,198
494,159,1077,631
271,157,825,631
887,116,889,118
867,103,889,138
828,62,947,149
